A_Fighter,B_Fighter,Division,WinBy,EventYear,EventLocation,A_height,A_weight,A_range,A_Stance,A_YearBirth,A_SigStrikeLanded,A_SigStrikeAcc,A_SigStrikeAbsorb,A_SigStrikeDef,A_TakedownAvg,A_TakedownAcc,A_TakedownDef,A_SubAvg,B_height,B_weight,B_range,B_Stance,B_YearBirth,B_SigStrikeLanded,B_SigStrikeAcc,B_SigStrikeAbsorb,B_SigStrikeDef,B_TakedownAvg,B_TakedownAcc,B_TakedownDef,B_SubAvg
Georges St-Pierre,Karo Parisyan,Welterweight,U-DEC,2004.0,LasVegas,71.0,185.0,76.0,Orthodox,1981.0,3.78,53.0,1.4,72.0,4.16,74.0,83.0,1.1,70.0,170.0,72.0,Orthodox,1982.0,2.49,41.0,2.19,58.0,5.27,59.0,59.0,1.0
Josh Thomson,Hermes Franca,Lightweight,M-DEC,2004.0,LasVegas,70.0,155.0,71.0,Orthodox,1978.0,2.59,47.0,2.12,64.0,1.92,39.0,54.0,1.3,66.0,155.0,71.0,Orthodox,1974.0,1.78,39.0,2.85,55.0,1.53,36.0,37.0,2.4
Matt Serra,Jeff Curran,Lightweight,U-DEC,2004.0,LasVegas,66.0,170.0,68.0,Orthodox,1974.0,1.98,39.0,2.64,46.0,2.05,20.0,38.0,0.9,66.0,135.0,69.0,Orthodox,1977.0,1.54,31.0,2.48,60.0,0.35,12.0,35.0,1.2
Matt Hughes,Frank Trigg,Welterweight,SUB,2003.0,Uncasville,69.0,170.0,73.0,Switch,1973.0,2.14,53.0,1.36,53.0,2.95,50.0,35.0,1.2,69.0,170.0,71.0,Southpaw,1972.0,2.79,46.0,1.9,56.0,2.35,47.0,75.0,0.8
Matt Lindland,Falaniko Vitale,Middleweight,KO/TKO,2003.0,Uncasville,72.0,185.0,74.0,Southpaw,1970.0,2.62,50.0,1.56,52.0,3.01,48.0,60.0,1.3,70.0,185.0,--,Orthodox,1974.0,1.88,49.0,3.68,47.0,0.72,33.0,86.0,0.0
Wesley Correira,David Abbott,Heavyweight,KO/TKO,2003.0,Uncasville,75.0,260.0,--,Orthodox,1978.0,2.6,36.0,8.8,40.0,0.0,0.0,90.0,0.0,72.0,265.0,--,Switch,--,1.35,30.0,3.55,38.0,1.07,33.0,66.0,0.0
Evan Tanner,Phil Baroni,Middleweight,KO/TKO,2003.0,Uncasville,72.0,185.0,74.0,Orthodox,1971.0,3.05,59.0,2.64,56.0,2.55,43.0,25.0,1.3,69.0,170.0,72.0,Orthodox,1976.0,2.77,45.0,3.93,40.0,1.46,47.0,60.0,0.5
Robbie Lawler,Chris Lytle,Welterweight,U-DEC,2003.0,Uncasville,71.0,170.0,74.0,Southpaw,1982.0,3.83,46.0,4.67,59.0,0.65,64.0,65.0,0.0,71.0,170.0,68.0,Orthodox,1974.0,3.76,45.0,3.03,58.0,0.7,55.0,55.0,2.4
Pedro Rizzo,Ricco Rodriguez,Heavyweight,U-DEC,2003.0,Uncasville,73.0,241.0,--,Orthodox,1974.0,1.93,34.0,3.02,50.0,0.26,28.0,78.0,0.0,76.0,265.0,--,Orthodox,1977.0,1.85,51.0,1.15,61.0,2.3,39.0,40.0,1.0
Keith Rockel,Chris Liguori,Middleweight,SUB,2003.0,Uncasville,72.0,185.0,--,Orthodox,--,1.13,73.0,0.21,66.0,4.63,75.0,100.0,4.6,69.0,185.0,--,Orthodox,--,0.29,33.0,1.44,0.0,0.0,0.0,50.0,0.0
Yves Edwards,Nick Agallar,Lightweight,KO/TKO,2003.0,Uncasville,69.0,155.0,73.0,Southpaw,1976.0,2.91,42.0,2.34,66.0,0.76,53.0,69.0,0.7,68.0,155.0,--,Orthodox,1979.0,0.69,11.0,4.56,42.0,0.0,0.0,0.0,0.0
Randy Couture,Tito Ortiz,Light Heavyweight,U-DEC,2003.0,LasVegas,73.0,205.0,75.0,Orthodox,1963.0,2.85,57.0,1.53,59.0,2.78,46.0,58.0,0.5,75.0,205.0,74.0,Orthodox,1975.0,2.59,46.0,2.88,60.0,2.47,35.0,54.0,0.6
Andrei Arlovski,Vladimir Matyushenko,Heavyweight,KO/TKO,2003.0,LasVegas,75.0,240.0,77.0,Orthodox,1979.0,3.79,45.0,3.2,57.0,0.4,36.0,76.0,0.2,72.0,205.0,74.0,Orthodox,1971.0,1.9,44.0,1.62,59.0,3.25,46.0,70.0,0.1
Tim Sylvia,Gan McGee,Heavyweight,KO/TKO,2003.0,LasVegas,80.0,265.0,80.0,Orthodox,1976.0,4.23,41.0,2.61,61.0,0.11,100.0,75.0,0.1,82.0,265.0,--,Orthodox,1976.0,2.2,29.0,2.31,59.0,0.65,25.0,83.0,0.0
