A_Fighter,B_Fighter,Division,WinBy,EventYear,EventLocation,A_height,A_weight,A_range,A_Stance,A_YearBirth,A_SigStrikeLanded,A_SigStrikeAcc,A_SigStrikeAbsorb,A_SigStrikeDef,A_TakedownAvg,A_TakedownAcc,A_TakedownDef,A_SubAvg,B_height,B_weight,B_range,B_Stance,B_YearBirth,B_SigStrikeLanded,B_SigStrikeAcc,B_SigStrikeAbsorb,B_SigStrikeDef,B_TakedownAvg,B_TakedownAcc,B_TakedownDef,B_SubAvg
Renato Sobral,Maurice Smith,Heavyweight,M-DEC,2000.0,AtlanticCity,73.0,205.0,75.0,Orthodox,1975.0,2.23,45.0,1.53,57.0,2.48,42.0,65.0,2.6,74.0,221.0,--,Orthodox,1961.0,0.41,46.0,0.47,60.0,0.89,50.0,20.0,0.9
Josh Barnett,Gan McGee,Super Heavyweight,KO/TKO,2000.0,AtlanticCity,75.0,250.0,78.0,Orthodox,1977.0,3.2,50.0,2.11,57.0,1.26,55.0,55.0,1.4,82.0,265.0,--,Orthodox,1976.0,2.2,29.0,2.31,59.0,0.65,25.0,83.0,0.0
Andrei Arlovski,Aaron Brink,Heavyweight,SUB,2000.0,AtlanticCity,75.0,240.0,77.0,Orthodox,1979.0,3.79,45.0,3.2,57.0,0.4,36.0,76.0,0.2,75.0,205.0,--,Orthodox,1974.0,3.49,42.0,5.71,57.0,0.0,0.0,0.0,0.0
Jens Pulver,John Lewis,Lightweight,KO/TKO,2000.0,AtlanticCity,67.0,145.0,70.0,Southpaw,1974.0,2.12,37.0,3.13,56.0,0.22,33.0,63.0,0.3,72.0,155.0,--,Southpaw,--,0.0,0.0,4.0,66.0,0.0,0.0,0.0,0.0
Mark Hughes,Alex Stiebling,Middleweight,U-DEC,2000.0,AtlanticCity,69.0,205.0,--,Southpaw,1973.0,0.9,47.0,0.4,42.0,3.0,50.0,0.0,4.5,74.0,205.0,--,Southpaw,--,1.77,42.0,1.45,52.0,0.35,66.0,66.0,0.7
Ben Earwood,Chris Lytle,Welterweight,U-DEC,2000.0,AtlanticCity,68.0,170.0,--,Orthodox,--,0.5,55.0,0.2,33.0,3.0,100.0,0.0,0.0,71.0,170.0,68.0,Orthodox,1974.0,3.76,45.0,3.03,58.0,0.7,55.0,55.0,2.4
Pedro Rizzo,Dan Severn,Heavyweight,KO/TKO,2000.0,NewOrleans,73.0,241.0,--,Orthodox,1974.0,1.93,34.0,3.02,50.0,0.26,28.0,78.0,0.0,74.0,250.0,--,Southpaw,1958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maurice Smith,Bobby Hoffman,Heavyweight,S-DEC,2000.0,NewOrleans,74.0,221.0,--,Orthodox,1961.0,0.41,46.0,0.47,60.0,0.89,50.0,20.0,0.9,74.0,245.0,--,Orthodox,1968.0,2.02,70.0,1.32,19.0,1.17,50.0,0.0,1.2
Jeremy Horn,Eugene Jackson,Middleweight,SUB,2000.0,NewOrleans,73.0,185.0,74.0,Orthodox,1975.0,1.19,39.0,1.99,55.0,1.83,38.0,29.0,1.1,68.0,185.0,--,Orthodox,1966.0,2.19,33.0,3.44,32.0,1.91,71.0,16.0,2.3
Fabiano Iha,Laverne Clark,Welterweight,SUB,2000.0,NewOrleans,68.0,155.0,--,Orthodox,1970.0,1.73,47.0,2.49,42.0,2.88,40.0,50.0,2.9,71.0,170.0,--,Orthodox,1973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuki Kondo,Alexandre Dantas,Middleweight,KO/TKO,2000.0,NewOrleans,71.0,183.0,--,Southpaw,1975.0,1.14,42.0,2.57,51.0,0.76,41.0,37.0,0.5,74.0,238.0,--,Orthodox,1979.0,0.21,25.0,1.87,60.0,0.0,0.0,0.0,3.1
Ian Freeman,Tedd Williams,Heavyweight,U-DEC,2000.0,NewOrleans,71.0,225.0,--,Orthodox,1966.0,2.54,48.0,3.11,44.0,1.44,40.0,80.0,0.7,73.0,275.0,--,Orthodox,1969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Monson,Tim Lajcik,Heavyweight,U-DEC,2000.0,NewOrleans,69.0,247.0,74.0,Orthodox,1971.0,0.97,30.0,2.87,59.0,1.06,12.0,66.0,0.7,73.0,225.0,--,Orthodox,1965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brad Gumm,CJ Fernandes,Welterweight,U-DEC,2000.0,NewOrleans,71.0,170.0,--,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,170.0,--,,1977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Randleman,Pedro Rizzo,Heavyweight,U-DEC,2000.0,CedarRapids,70.0,205.0,--,Orthodox,1971.0,1.26,54.0,1.12,57.0,2.0,56.0,30.0,0.8,73.0,241.0,--,Orthodox,1974.0,1.93,34.0,3.02,50.0,0.26,28.0,78.0,0.0
Tyrone Roberts,David Dodd,Middleweight,U-DEC,2000.0,CedarRapids,69.0,185.0,--,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,200.0,--,Orthodox,1973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pat Miletich,John Alessio,Welterweight,SUB,2000.0,CedarRapids,70.0,170.0,--,Orthodox,1968.0,1.79,45.0,1.66,63.0,1.96,100.0,54.0,1.0,70.0,155.0,72.0,Orthodox,1979.0,2.1,39.0,2.91,54.0,1.85,38.0,70.0,1.2
Amaury Bitetti,Alex Andrade,Middleweight,DQ,2000.0,CedarRapids,69.0,185.0,--,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,200.0,--,Orthodox,1974.0,0.2,36.0,2.6,53.0,0.0,0.0,25.0,0.8
Matt Hughes,Marcelo Aguiar,Welterweight,KO/TKO,2000.0,CedarRapids,69.0,170.0,73.0,Switch,1973.0,2.14,53.0,1.36,53.0,2.95,50.0,35.0,1.2,70.0,170.0,--,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jens Pulver,Joao Roque,Lightweight,U-DEC,2000.0,CedarRapids,67.0,145.0,70.0,Southpaw,1974.0,2.12,37.0,3.13,56.0,0.22,33.0,63.0,0.3,66.0,155.0,--,Orthodox,1971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ian Freeman,Nate Schroeder,Heavyweight,KO/TKO,2000.0,CedarRapids,71.0,225.0,--,Orthodox,1966.0,2.54,48.0,3.11,44.0,1.44,40.0,80.0,0.7,73.0,230.0,--,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shonie Carter,Adrian Serrano,Welterweight,U-DEC,2000.0,CedarRapids,70.0,170.0,--,Southpaw,1972.0,1.62,36.0,2.32,47.0,0.75,66.0,75.0,0.0,68.0,170.0,--,,1963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
